농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
구여울농장,돼지,3521,경기도 안성시 일죽면 내둔길 60-64,경기도 안성시 일죽면 송천리 606번지 10호  
신광농장,돼지,1000,경기도 안성시 일죽면 서동대로 7079-24,경기도 안성시 일죽면 월정리 1584번지  
영조농장,돼지,2000,경기도 안성시 일죽면 장암로 97-7,경기도 안성시 일죽면 장암리 425번지 4호 외 3필지 
영석농장,돼지,2500,경기도 안성시 일죽면 윗송산길 63,경기도 안성시 일죽면 화봉리 881번지 1호  
풍산농장,돼지,2400,경기도 안성시 일죽면 장암로 127-15,"경기도 안성시 일죽면 장암리 232번지 , 232-1, 232-2, 232-3 "
한양농장,돼지,800,경기도 안성시 공도읍 고무다리길 80-24,경기도 안성시 공도읍 승두리 284번지 1호  
사곡농장,돼지,0,경기도 안성시 사곡1길 65-35(사곡동),경기도 안성시 사곡동 118번지  
효성농장,돼지,1500,경기도 안성시 일죽면 서동대로 7594-69,경기도 안성시 일죽면 능국리 257번지 7호  
삼강농장,돼지,1943,경기도 안성시 일죽면 죽화로 531-19,경기도 안성시 일죽면 신흥리 43번지 1호  
구성농장(능국),돼지,2915,경기도 안성시 일죽면 지내동길 18,"경기도 안성시 일죽면 능국리 746번지 5호 , -1, -3, -4, -8 "
승문농장,돼지,2700,"경기도 안성시 일죽면 덕현길 54 (외4필지,370-1 외5필지)","경기도 안성시 일죽면 신흥리 386번지 1호 외4필지,370-1 외5필지 "
돈돌이농장,돼지,1000,경기도 안성시 죽산면 장계길 14-37,경기도 안성시 죽산면 장계리 298번지 4호  
홍란농장,돼지,800,경기도 안성시 죽산면 능앞길 117,경기도 안성시 죽산면 장능리 46번지  
(주)다비육종 도화농장2,돼지,0,경기도 안성시 죽산면 용설로 607-57,"경기도 안성시 죽산면 당목리 338번지 , 339, 340-1 "
신성농장,돼지,800,경기도 안성시 양성면 속말길 26-28,경기도 안성시 양성면 명목리 366번지 외 2필지 
덕봉농장,돼지,1800,경기도 안성시 양성면 덕봉서원로 575-50,경기도 안성시 양성면 덕봉리 36번지  
청학농장,돼지,0,경기도 안성시 미양면 서변1길 96-11,경기도 안성시 미양면 강덕리 175번지 외 4필지 
서흥농장,돼지,2000,경기도 안성시 서운면 신흥리 28번지 4호  ,경기도 안성시 서운면 신흥리 28번지 4호  
지일농장,돼지,6300,경기도 안성시 삼죽면 국사봉로 391,경기도 안성시 삼죽면 기솔리 239번지 외12필지 
경기농장,돼지,0,경기도 안성시 대덕면 김중만장군길 157-79 (외 1필지(16-3)),경기도 안성시 대덕면 보동리 산 16번지 외 1필지(16-3) 
