농장명,농장주,축종명,사육두수(두),농장소재지
목우촌농장,이*재,한우,20,전라남도 순천시 상사면 오곡리
환영농장,강*구,한우,30,전라남도 순천시 황전면 비촌리
송천농장,전*자,육계,20000,전라남도 순천시 월등면 송천리
에스팜,이*순,육계,6000,전라남도 순천시 월등면 월용리
흑석농장,임*택,한우,65,전라남도 순천시 승주읍 유흥리
우산목장,정*영,젖소,110,전라남도 순천시 별량면 우산리
혜동목장,강*준,젖소,107,전라남도 순천시 상사면 오곡리
농업회사법인(주)천사농장2,농업회사법인(주)천사농장,돼지,1500,전라남도 순천시 월등면 농선리
싱싱농장,박*두,한우,48,전라남도 순천시 주암면 창촌리
목림농장,김*이,육계,40000,전라남도 순천시 주암면 궁각리
태인농장,송*종,한우,60,전라남도 순천시 낙안면 신기리
송암농원,최*호,한우,19,전라남도 순천시 낙안면 교촌리
명동축산,김*열,한우,62,전라남도 순천시 별량면 금치리
진흥양계농장,조*운,육계,57000,전라남도 순천시 별량면 학산리
대본농장,신*식,한우,5,전라남도 순천시 상사면 초곡리
그린농장,김*호,한우,60,전라남도 순천시 월등면 농선리
두지목장,김*환,젖소,65,전라남도 순천시 외서면 도신리
일득농장,김*건,한우,200,전라남도 순천시 황전면 평촌리
건구농장,김*문,한우,75,전라남도 순천시 황전면 죽청리
평죽축산,고*순,한우,13,전라남도 순천시 황전면 평촌리
장산농장,함*석,한우,20,전라남도 순천시 외서면 장산리
무선농장,안*일,한우,39,전라남도 순천시 별량면 무풍리
임성농장,유*길,한우,70,전라남도 순천시 황전면 모전리
김*규농장,김*규,한우,40,전라남도 순천시 황전면 회룡리
부흥농장,하*공,한우,110,전라남도 순천시 황전면 비촌리
모후농장,김*일,돼지,35,전라남도 순천시 송광면 후곡리
송곡목장,박*채,젖소,120,전라남도 순천시 외서면 월암리
정*석농장,정*석,한우,3,전라남도 순천시 상사면 쌍지리
김*빈농장,김*빈,한우,10,전라남도 순천시 상사면 용암리
복심농장,오*심,젖소,50,전라남도 순천시 상사면 초곡리
황우농장,정*균,한우,140,전라남도 순천시 황전면 회룡리
청산목장,김*용,젖소,98,전라남도 순천시 교량동
새마을목장,김*천,젖소,50,전라남도 순천시 외서면 신덕리
달나무농장,김*수,종계/산란계,1600,전라남도 순천시 외서면 신덕리
솔봉농장,양*순,한우,33,전라남도 순천시 황전면 평촌리
진주 농장,이*숙,한우,150,전라남도 순천시 황전면 죽청리
형남농장,최*남,젖소,80,전라남도 순천시 송광면 장안리
백이산 농장,이*순,한우,14,전라남도 순천시 외서면 신덕리
학영농장,안*훈,한우,40,전라남도 순천시 상사면 쌍지리
길인목장,허*양,젖소,375,전라남도 순천시 서면 지본리
황전목장,정*조,젖소,42,전라남도 순천시 황전면 평촌리
상열농장,이*열,젖소,50,전라남도 순천시 대룡동
득주농장,조*룡,한우,40,전라남도 순천시 승주읍 유흥리
신우농장,임*출,한우,60,전라남도 순천시 주암면 어왕리
선례농장,전*선,한우,60,전라남도 순천시 승주읍 유흥리
구강농장,조*익,한우,10,전라남도 순천시 승주읍 구강리
조*익농장,조*익,한우,25,전라남도 순천시 승주읍 유흥리
초야목장,박*규,젖소,70,전라남도 순천시 주암면 복다리
이*근농장,이*근,한우,35,전라남도 순천시 외서면 신덕리
학산목장,한*수,젖소,53,전라남도 순천시 별량면 학산리
해룡축산,문*열,한우,50,전라남도 순천시 해룡면 선학리
소락골 농장,이*동,한우,120,전라남도 순천시 황전면 회룡리
모전농장,박*주,한우,40,전라남도 순천시 황전면 모전리
채중목장,김*중,한우,40,전라남도 순천시 서면 운평리
신성농장,신*주,돼지,500,전라남도 순천시 해룡면 신성리
대흥축산,정*수,한우,30,전라남도 순천시 송광면 대흥리
풍성농장,유*순,한우,60,전라남도 순천시 월등면 농선리
회덕축산,송*선,한우,120,전라남도 순천시 황전면 회룡리
태원농장,김*원,한우,6,전라남도 순천시 월등면 운월리
백석농장,황*술,한우,52,전라남도 순천시 황전면 비촌리
율덕목장,황*하,한우,4,전라남도 순천시 승주읍 봉덕리
승주농장,강*웅,한우,15,전라남도 순천시 승주읍 신성리
태윤농장,정*윤,한우,85,전라남도 순천시 월등면 대평리
이*표농장,이*표,한우,20,전라남도 순천시 외서면 신덕리
