사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
학심농장,한우,경상북도 안동시 풍산읍 죽전리 981번지 1호  ,경상북도 안동시 풍산읍 죽전길 861,2025-11-25
권순칠 농장,한우,경상북도 안동시 풍산읍 수리 396번지  ,경상북도 안동시 풍산읍 풍산태사로 1485-10,2025-11-25
김재한 농장,한우,경상북도 안동시 풍산읍 노리 175번지  ,,2025-11-25
최운식 농장,한우,경상북도 안동시 풍산읍 막곡리 542번지 1호  ,,2025-11-25
통골농장,한우,경상북도 안동시 풍산읍 수곡리 126번지  ,경상북도 안동시 풍산읍 청회길 331,2025-11-25
김경희 농장,한우,경상북도 안동시 일직면 망호리 235번지  ,경상북도 안동시 일직면 일직점곡로 122-15,2025-11-25
김석진 농장,한우,경상북도 안동시 임동면 고천리 263번지  ,경상북도 안동시 임동면 고천지촌로 240-82,2025-11-25
김민구 농장,한우,경상북도 안동시 임동면 고천리 154번지  ,경상북도 안동시 임동면 고천지촌로 301,2025-11-25
심영한 농장,한우,"경상북도 안동시 임동면 고천리 536번지 , 537번지 ",경상북도 안동시 임동면 고천덕강길 42-63,2025-11-25
김준년 농장,한우,경상북도 안동시 임동면 고천리 508번지 1호  ,,2025-11-25
제비원 반야 농장,한우,경상북도 안동시 이천동 98번지 2호  ,경상북도 안동시 미두리길 182-18 (이천동),2025-11-25
최정기 농장,한우,경상북도 안동시 서후면 대두서리 302번지  ,경상북도 안동시 서후면 생명의콩길 212-2,2025-11-25
김정수 농장,한우,경상북도 안동시 서후면 성곡리 525번지 1호  ,경상북도 안동시 서후면 성곡제일길 157-18,2025-11-25
김상진 농장,한우,경상북도 안동시 서후면 대두서리 1022번지 1호  ,경상북도 안동시 서후면 대두서2길 13,2025-11-25
소망농장,한우,경상북도 안동시 남후면 고상리 1번지 1호 외1필지(15-1) ,경상북도 안동시 남후면 남일로 579 (외1필지(15-1)),2025-11-25
청양농장,육계,경상북도 안동시 와룡면 이상리 241번지 2호  ,경상북도 안동시 와룡면 서주길 366-63,2025-11-25
조영흠 농장,한우,경상북도 안동시 임하면 신덕리 60번지  ,경상북도 안동시 임하면 금소길 569-447,2025-11-25
이호석 농장,한우,경상북도 안동시 도산면 의일리 400번지  ,경상북도 안동시 도산면 효잠안길 45-8,2025-11-25
이유정 농장,한우,경상북도 안동시 와룡면 감애리 821번지  ,경상북도 안동시 와룡면 하명잦길 57,2025-11-25
김성환 농장,산양,경상북도 안동시 도산면 선양리 919번지  ,,2025-11-25
이주만 농장,한우,경상북도 안동시 와룡면 주하리 509번지 1호 외(509-4) ,경상북도 안동시 와룡면 신그네길 34,2025-11-25
바림농장2,돼지,경상북도 안동시 정하동 511번지  ,"경상북도 안동시 바람이길 210-48, 돼지인공수정센터 (정하동)",2025-11-25
권순식 농장,한우,"경상북도 안동시 일직면 구천리 364번지 9호 , 356-2 ",경상북도 안동시 일직면 구천길 122,2025-11-25
고상농장,돼지,"경상북도 안동시 남후면 고상리 924번지 ,926 ","경상북도 안동시 남후면 남일로 352-22 (,926)",2025-11-25
남시복 농장,한우,경상북도 안동시 일직면 망호리 173번지  ,경상북도 안동시 일직면 안망실길 124-1,2025-11-25
권인천 농장,한우,경상북도 안동시 서후면 재품리 196번지 2호  ,경상북도 안동시 서후면 백현길 681-7,2025-11-25
태평양농장,한우,경상북도 안동시 서후면 재품리 192번지 5호  ,"경상북도 안동시 서후면 백현길 649, (서후면 재품리 192-15, 192-16, 192-17)",2025-11-25
김용환 농장,한우,경상북도 안동시 서후면 성곡리 500번지  ,,2025-11-25
김강동 농장,한우,경상북도 안동시 풍산읍 수곡리 1번지 2호  ,경상북도 안동시 풍산읍 금당길 152-20,2025-11-25
미름농장,한우,경상북도 안동시 풍산읍 막곡리 18번지  ,경상북도 안동시 풍산읍 밤가골길 7,2025-11-25
우수농장,한우,경상북도 안동시 풍산읍 수곡리 66번지 2호  ,경상북도 안동시 풍산읍 금당길 152-26,2025-11-25
김청섭 농장,한우,경상북도 안동시 서후면 이송천리 380번지  ,경상북도 안동시 서후면 이송천1길 61-31,2025-11-25
이성희 농장,한우,경상북도 안동시 일직면 귀미리 812번지  ,경상북도 안동시 일직면 하나들길 123,2025-11-25
푸른농장,한우,경상북도 안동시 와룡면 주하리 66번지 2호  ,경상북도 안동시 와룡면 웃두루길 39,2025-11-25
남혜주 농장,한우,경상북도 안동시 임동면 고천리 1008번지 9호  ,경상북도 안동시 임동면 고천지촌로 194,2025-11-25
권인자 농장,한우,경상북도 안동시 북후면 도진리 311번지 4호  ,경상북도 안동시 북후면 오금길 38,2025-11-25
남재필 농장,한우,경상북도 안동시 북후면 오산리 309번지 3호  ,경상북도 안동시 북후면 오산대추길 12,2025-11-25
손태두 농장,한우,경상북도 안동시 북후면 월전리 102번지  ,,2025-11-25
삼덕농장,한우,경상북도 안동시 남후면 광음리 473번지 2호  ,경상북도 안동시 남후면 샛터길 15,2025-11-25
김영한 농장,한우,경상북도 안동시 남후면 광음리 407번지 1호  ,경상북도 안동시 남후면 감재길 71-1,2025-11-25
김미란농장,한우,경상북도 안동시 남후면 광음리 203번지  ,경상북도 안동시 남후면 샛터길 72-1,2025-11-25
김태종 농장,한우,경상북도 안동시 남후면 광음리 403번지 2호  ,경상북도 안동시 남후면 감재길 51,2025-11-25
암산농장,한우,"경상북도 안동시 남후면 광음리 401번지 1호 외2필지(401-3,401-7) ",,2025-11-25
율산농장,한우,경상북도 안동시 남후면 광음리 193번지 5호  ,경상북도 안동시 남후면 감재길 236,2025-11-25
황화수 농장,한우,경상북도 안동시 남후면 개곡리 185번지  ,,2025-11-25
청솔농장,한우,경상북도 안동시 남후면 고상리 173번지 1호  ,경상북도 안동시 남후면 남일로 503,2025-11-25
광음축산,한우,경상북도 안동시 남후면 광음리 880번지 1호 외 1필지(897) ,경상북도 안동시 남후면 광음한골길 52-20,2025-11-25
임종우 농장,한우,경상북도 안동시 남후면 광음리 868번지 1호  ,경상북도 안동시 남후면 광음한골길 46-8,2025-11-25
손창규 농장,한우,경상북도 안동시 남후면 단호리 938번지  ,경상북도 안동시 남후면 풍산단호로 790,2025-11-25
단지농장,한우,경상북도 안동시 남후면 단호리 631번지  ,경상북도 안동시 남후면 대곡길 68,2025-11-25
백태운 농장,한우,"경상북도 안동시 남후면 단호리 937번지 , 103-3, 162-5 ","경상북도 안동시 남후면 풍산단호로 788, 788-2, 단호중앙길 39",2025-11-25
권기하 농장,한우,경상북도 안동시 남후면 단호리 164번지  ,경상북도 안동시 남후면 단호중앙길 47-6,2025-11-25
길상농장,한우,"경상북도 안동시 남후면 광음리 322번지 , 325, 326 ",경상북도 안동시 남후면 감재길 40-31,2025-11-25
노동농장,한우,경상북도 안동시 풍산읍 노리 388번지  ,경상북도 안동시 풍산읍 본마을길 135,2025-11-25
김용옥 농장,한우,경상북도 안동시 남후면 광음리 190번지 3호  ,"경상북도 안동시 남후면 감재길 236, (광음리 193)",2025-11-25
바림농장,돼지,경상북도 안동시 정하동 501번지 7호 외 3필지 ,경상북도 안동시 바람이길 176 (정하동),2025-11-25
우리목장,한우,"경상북도 안동시 이천동 242번지 , 311 ",경상북도 안동시 연미원길 261-8 (이천동),2025-11-25
류덕화 농장,한우,경상북도 안동시 임동면 고천리 338번지 3호  ,"경상북도 안동시 임동면 고천지촌로 202-5, (고천리 338)",2025-11-25
성광목장,한우,경상북도 안동시 임하면 오대리 산 137번지 1호  ,경상북도 안동시 임하면 충효로 2569-13,2025-11-25
강병훈 농장,한우,경상북도 안동시 북후면 오산리 557번지  ,,2025-11-25
장성호 농장,한우,경상북도 안동시 남후면 광음리 961번지  ,"경상북도 안동시 남후면 큰광음길 200-4, (큰광음길 186-14)",2025-11-25
대경축산,돼지,경상북도 안동시 와룡면 가야리 767번지  ,경상북도 안동시 와룡면 가야길 70-26,2025-11-25
임현빈 농장,한우,경상북도 안동시 남후면 고상리 409번지 1호  ,경상북도 안동시 남후면 남일로 439,2025-11-25
김혜구 농장,한우,경상북도 안동시 남후면 광음리 880번지  ,,2025-11-25
매화 농장,한우,"경상북도 안동시 이천동 803번지 ,804-1,804-2 ","경상북도 안동시 매화길 81-54 (이천동,,804-1,804-2)",2025-11-25
호암농장,한우,경상북도 안동시 일직면 명진리 468번지 1호  ,경상북도 안동시 일직면 못골안길 27-5,2025-11-25
김준기 농장,한우,경상북도 안동시 서후면 대두서리 1024번지  ,경상북도 안동시 서후면 대두서2길 20,2025-11-25
문바우 농장,한우,경상북도 안동시 북후면 연곡리 166번지 1호  ,경상북도 안동시 북후면 와북로 415-18,2025-11-25
남산골한우농장,한우,경상북도 안동시 이천동 179번지  ,경상북도 안동시 덕고개길 173 (이천동),2025-11-25
황준기 농장,한우,경상북도 안동시 이천동 464번지 7호  ,경상북도 안동시 제비원로 539-12 (이천동),2025-11-25
부성농장,한우,경상북도 안동시 남후면 무릉리 1097번지 2호  ,"경상북도 안동시 남후면 숨실길 108-6, (무릉리 1097-2)",2025-11-25
삼복우농장,한우,경상북도 안동시 노하동 33번지 6호  ,경상북도 안동시 제봉3길 26-57 (노하동),2025-11-25
명리농장,한우,경상북도 안동시 서후면 명리 588번지 1호 외 1필지 ,경상북도 안동시 서후면 명리독점길 20 (외 1필지),2025-11-25
와룡한우농장,한우,"경상북도 안동시 와룡면 지내리 208번지 , 208-6 ",경상북도 안동시 와룡면 농암로 265-3,2025-11-25
강대희농장,한우,경상북도 안동시 녹전면 원천리 313번지 9호  ,경상북도 안동시 녹전면 원당안길 52,2025-11-25
솔티골농장,한우,경상북도 안동시 풍천면 어담리 산 60번지  ,경상북도 안동시 풍천면 삼표산길 504,2025-11-25
갈매농장,한우,경상북도 안동시 풍산읍 회곡리 23번지  ,,2025-11-25
운상농장,한우,경상북도 안동시 남선면 신석리 281번지  ,"경상북도 안동시 남선면 신평길 126-5, 신평길 126-6",2025-11-25
권삼덕농장,한우,경상북도 안동시 예안면 계곡리 109번지  ,경상북도 안동시 예안면 임예로 1186-23,2025-11-25
낙동농장,한우,경상북도 안동시 풍산읍 계평리 357번지 2호  ,경상북도 안동시 풍산읍 음실길 29,2025-11-25
김두한농장,한우,경상북도 안동시 풍산읍 계평리 453번지 1호  ,경상북도 안동시 풍산읍 음실길 39,2025-11-25
박태호농장,한우,경상북도 안동시 풍산읍 신양리 859번지 2호  ,,2025-11-25
에덴농장,한우,경상북도 안동시 서후면 성곡리 861번지 외 1필 ,경상북도 안동시 서후면 봉림사지길 66-1 (외 1필),2025-11-25
형제축산,한우,경상북도 안동시 정하동 113번지 2호  ,,2025-11-25
토가농장,한우,경상북도 안동시 남선면 원림리 942번지  ,경상북도 안동시 남선면 토갓길 328,2025-11-25
율미농장,돼지,경상북도 안동시 와룡면 이하리 650번지  ,경상북도 안동시 와룡면 율미골길 132-5,2025-11-25
송내목장,한우,경상북도 안동시 서후면 명리 153번지  ,경상북도 안동시 서후면 명이개길 49-1,2025-11-25
손형기농장,한우,경상북도 안동시 와룡면 감애리 170번지 1호  ,경상북도 안동시 와룡면 감애구송로 195-12,2025-11-25
건진산농장,한우,경상북도 안동시 북후면 도진리 300번지  ,경상북도 안동시 북후면 오금길 42-19,2025-11-25
원길농장,한우,경상북도 안동시 서후면 이개리 355번지 2호  ,경상북도 안동시 서후면 귀여리길 324-3,2025-11-25
조세영농장,한우,경상북도 안동시 북후면 오산리 543번지  ,경상북도 안동시 북후면 경북대로 977-60,2025-11-25
김용인농장,한우,경상북도 안동시 길안면 천지리 307번지 3호  ,경상북도 안동시 길안면 만음1길 201-36,2025-11-25
와우농장,한우,경상북도 안동시 서후면 이개리 465번지  ,경상북도 안동시 서후면 이개와우실길 23,2025-11-25
행복농장,한우,경상북도 안동시 풍산읍 노리 293번지외 1필 ,,2025-11-25
현승목장,한우,경상북도 안동시 서후면 자품리 352번지 2호  ,경상북도 안동시 서후면 백현길 496,2025-11-25
귀옥농장,한우,경상북도 안동시 풍산읍 노리 286번지  ,경상북도 안동시 풍산읍 수석길 178,2025-11-25
이경호농장,한우,경상북도 안동시 풍산읍 노리 41번지  ,경상북도 안동시 풍산읍 석교길 47,2025-11-25
송악농장,한우,경상북도 안동시 서후면 이송천리 854번지  ,,2025-11-25
재현농장,한우,"경상북도 안동시 남후면 고상리 14번지 1호 , 16-2 ",경상북도 안동시 남후면 남일로 573,2025-11-25
김현묵 축사,한우,경상북도 안동시 서후면 대두서리 1043번지  ,경상북도 안동시 서후면 생명의콩길 54-9,2025-11-25
여녹농장,한우,경상북도 안동시 일직면 국곡리 748번지 2호  ,경상북도 안동시 일직면 남일로 194-17,2025-11-25
범중농장,한우,경상북도 안동시 와룡면 가야리 318번지 1호  ,경상북도 안동시 와룡면 가야길 286-31,2025-11-25
서후농장,한우,경상북도 안동시 서후면 재품리 352번지 2호  ,"경상북도 안동시 서후면 백현길 496, (재품리 352-2)",2025-11-25
천지인 농장,한우,"경상북도 안동시 남선면 외하리 684번지 외 2필지(681-1, 762-1) ",경상북도 안동시 남선면 검정길 88,2025-11-25
농업회사법인 계명 주식회사,종계/산란계,경상북도 안동시 남후면 고상리 137번지  ,경상북도 안동시 남후면 남일로 528-3,2025-11-25
승휘농장,한우,경상북도 안동시 북후면 연곡리 622번지  ,경상북도 안동시 북후면 와북로 269,2025-11-25
제비원농원,육계,경상북도 안동시 북후면 물한리 96번지 1호  ,경상북도 안동시 북후면 저전물한길 194-22,2025-11-25
자품목장,한우,경상북도 안동시 서후면 자품리 314번지  ,경상북도 안동시 서후면 백현길 522-4,2025-11-25
