사업장명칭,주사육업종,사업장소재지(지번),사육두수
산들목장,젖소,전남광주통합특별시 해남군 삼산면 상가리 406번지 외 1필지 및 406-1 외 1필지 ,140
덕양목장1,젖소,"전남광주통합특별시 해남군 옥천면 월평리 763번지 8호 외 3필지(제1동, 제3동) ",80
두메목장,젖소,전남광주통합특별시 해남군 옥천면 영신리 36번지 47호  ,150
신 샬롬목장,젖소,전남광주통합특별시 해남군 계곡면 여수리 712번지 5호  ,114
씨알목장,젖소,전남광주통합특별시 해남군 계곡면 반계리 69번지  ,72
한울목장,한우,"전남광주통합특별시 해남군 북일면 운전리 58번지 (1동, 3동) ",200
영호목장,한우,전남광주통합특별시 해남군 화원면 영호리 726번지 1호  ,90
가나목장,젖소,전남광주통합특별시 해남군 해남읍 용정리 268번지  ,117
대둔목장,젖소,전남광주통합특별시 해남군 현산면 조산리 85번지 14호  ,253
김영선농장,한우,전남광주통합특별시 해남군 계곡면 덕정리 20번지 외 1필지 ,45
무의목장,한우,전남광주통합특별시 해남군 옥천면 영신리 448번지 4호  ,15
최유만농장,한우,전남광주통합특별시 해남군 북평면 이진리 795번지  ,30
수형축산,한우,전남광주통합특별시 해남군 북평면 서홍리 1034번지 1호 외 4필지 ,78
한드림농장,돼지,전남광주통합특별시 해남군 황산면 송호리 936번지 3호  ,750
강병효농장,한우,전남광주통합특별시 해남군 황산면 일신리 197번지 3호 외 2필지 ,40
대성목장,젖소,전남광주통합특별시 해남군 계곡면 장소리 304번지 외 5필지 ,73
송호하나농장,돼지,전남광주통합특별시 해남군 황산면 송호리 302번지 7호  ,2000
세민농장,돼지,전남광주통합특별시 해남군 해남읍 신안리 304번지  ,713
박계일농장,한우,전남광주통합특별시 해남군 해남읍 백야리 602번지 19호  ,35
김세종농장,한우,전남광주통합특별시 해남군 계곡면 성진리 769번지  ,18
공주목장,젖소,전남광주통합특별시 해남군 계곡면 반계리 192번지 외 7필지 ,175
옥산농장,한우,전남광주통합특별시 해남군 옥천면 흑천리 535번지 외 2필지 ,90
바울축산,한우,전남광주통합특별시 해남군 황산면 일신리 46번지 10호 외 1필지 ,15
김성일농장,한우,전남광주통합특별시 해남군 황산면 일신리 8번지 1호 외 1필지 ,25
형제농장,육계,전남광주통합특별시 해남군 황산면 송호리 605번지 1호 외 1필지(605-2) ,53000
박종봉농장,한우,전남광주통합특별시 해남군 산이면 송천리 138번지 1호  ,24
계두농장,육계,전남광주통합특별시 해남군 산이면 진산리 1번지 1호  ,46000
김대인농장,한우,전남광주통합특별시 해남군 북평면 서홍리 948번지 4호  ,22
해송축산,돼지,전남광주통합특별시 해남군 산이면 송천리 132번지 9호  ,2300
거성농장,육계,전남광주통합특별시 해남군 산이면 상공리 211번지 5호  ,200000
도담농장,종계/산란계,전남광주통합특별시 해남군 산이면 금송리 745번지 1호  ,40000
대경목장,한우,전남광주통합특별시 해남군 삼산면 송정리 44번지  ,40
윤우현농장,한우,전남광주통합특별시 해남군 계곡면 반계리 13번지 1호  ,12
한농장,돼지,전남광주통합특별시 해남군 북평면 이진리 1206번지 1호 외1필지(1206-4번지) ,2000
다우리농장,돼지,전남광주통합특별시 해남군 현산면 월송리 930번지 3호  ,2500
이인상농장,한우,전남광주통합특별시 해남군 삼산면 신흥리 160번지 외 1필지(160-5번지) ,70
김길용농장,한우,전남광주통합특별시 해남군 삼산면 원진리 259번지 2호 외 3필지 ,50
그린목장,한우,전남광주통합특별시 해남군 삼산면 평활리 365번지 9호  ,30
강향화농장,한우,전남광주통합특별시 해남군 삼산면 평활리 324번지  ,34
삼진축산,한우,전남광주통합특별시 해남군 삼산면 평활리 492번지 36호  ,30
이정기농장,한우,전남광주통합특별시 해남군 해남읍 남천리 604번지 12호 외3필지 ,120
말매농장,한우,전남광주통합특별시 해남군 해남읍 고도리 288번지  ,30
청운농장,돼지,전남광주통합특별시 해남군 옥천면 백호리 854번지 1호 외 6필지 ,1700
충평농장,한우,전남광주통합특별시 해남군 문내면 충평리 143번지 2호 외 1필지 ,60
